Provinsi,2018,2019,2020
ACEH,87.85,91.22,93.84
SUMATERA UTARA,72.29,76.81,80.45
SUMATERA BARAT,85.35,87.89,90.10
RIAU,76.78,78.32,81.83
JAMBI,90.95,91.92,93.73
SUMATERA SELATAN,88.82,88.65,90.65
BENGKULU,90.66,91.85,92.77
LAMPUNG,88.14,90.23,91.65
KEP. BANGKA BELITUNG,95.12,94.60,96.07
KEP. RIAU,92.95,93.53,94.71
DKI JAKARTA,96.23,97.01,97.52
JAWA BARAT,81.33,83.68,85.72
JAWA TENGAH,93.84,95.12,96.26
DI YOGYAKARTA,97.40,97.95,98.36
JAWA TIMUR,86.18,89.06,91.62
BANTEN,76.61,80.45,82.82
BALI,90.49,92.72,93.85
NUSA TENGGARA BARAT,79.65,81.72,84.98
NUSA TENGGARA TIMUR,58.17,61.08,63.33
KALIMANTAN BARAT,81.95,85.10,87.71
KALIMANTAN TENGAH,82.33,83.97,87.36
KALIMANTAN SELATAN,89.03,90.28,92.19
KALIMANTAN TIMUR,92.23,92.69,93.38
KALIMANTAN UTARA,89.51,91.47,92.64
SULAWESI UTARA,85.45,88.97,91.00
SULAWESI TENGAH,73.69,78.02,83.37
SULAWESI SELATAN,87.04,89.35,91.06
SULAWESI TENGGARA,81.47,88.12,88.58
GORONTALO,90.08,92.99,93.32
SULAWESI BARAT,84.63,89.11,89.56
MALUKU,73.59,78.66,80.04
MALUKU UTARA,75.98,79.20,83.08
PAPUA BARAT,70.75,75.05,77.36
PAPUA,36.32,45.88,50.40
INDONESIA,83.55,86.01,88.11

